,Uniprot IDs,Gene,Enriched
308,P58004,['SESN2'],[False]
309,Q16543,['CDC37'],[False]
310,Q13541,['EIF4EBP1'],[False]
311,P49758,['RGS6'],[False]
312,P12956,['XRCC6'],[False]
313,P61244,['MAX'],[False]
314,Q92785,['DPF2'],[False]
315,Q8IU57,['IFNLR1'],[False]
316,P43034,['PAFAH1B1'],[False]
317,P02671,['FGA'],[False]
318,Q13351,['KLF1'],[False]
319,Q92800,['EZH1'],[False]
320,P19634,['SLC9A1'],[False]
321,P62805,['H4C8'],[False]
322,Q9BUQ8,['DDX23'],[False]
323,Q9UMX1,['SUFU'],[False]
324,Q02297,['NRG1'],[False]
325,Q9BRT9,['GINS4'],[False]
326,Q14011,['CIRBP'],[False]
327,P05455,['SSB'],[False]
328,P07197,['NEFM'],[False]
329,P01023,['A2M'],[False]
330,Q03164,['KMT2A'],[False]
331,P07237,['P4HB'],[False]
332,P28324,['ELK4'],[False]
333,Q03692,['COL10A1'],[False]
334,Q92499,['DDX1'],[False]
335,P05387,['RPLP2'],[False]
336,P83731,['RPL24'],[False]
337,O14745,['NHERF1'],[False]
338,Q9NR48,['ASH1L'],[False]
339,P55735,['SEC13'],[False]
340,Q03519,['TAP2'],[False]
341,P51608,['MECP2'],[False]
342,Q8IW75,['SERPINA12'],[False]
343,Q9H832,['UBE2Z'],[False]
344,O60566,['BUB1B'],[False]
345,Q15583,['TGIF1'],[False]
346,Q10589,['BST2'],[False]
347,Q9UQ13,['SHOC2'],[False]
348,Q16186,['ADRM1'],[False]
349,P10912,['GHR'],[False]
350,P31431,['SDC4'],[False]
351,Q9UM07,['PADI4'],[False]
352,P35236,['PTPN7'],[False]
353,Q7RTP6,['MICAL3'],[False]
354,Q9UM11,['FZR1'],[False]
355,P47992,['XCL1'],[False]
356,Q08188,['TGM3'],[False]
357,Q9H981,['ACTR8'],[False]
358,P04275,['VWF'],[False]
359,P00749,['PLAU'],[False]
360,Q86YV5,['PRAG1'],[False]
361,Q9NQI0,['DDX4'],[False]
362,P29274,['ADORA2A'],[False]
363,Q16667,['CDKN3'],[False]
364,P30260,['CDC27'],[False]
365,Q96QZ7,['MAGI1'],[False]
366,Q8IUQ4,['SIAH1'],[False]
367,P00488,['F13A1'],[False]
368,Q96B02,['UBE2W'],[False]
369,P21397,['MAOA'],[False]
370,P49790,['NUP153'],[False]
371,P33763,['PRR4'],[False]
372,P42898,['MTHFR'],[False]
373,P02549,['SPTA1'],[False]
374,Q92900,['UPF1'],[False]
375,P0DJI8,['SAA1'],[False]
376,O14558,['HSPB6'],[False]
377,P34741,['DAPL1'],[True]
378,P41208,['CETN2'],[False]
379,P55265,['ADAR'],[False]
380,P28698,['MZF1'],[False]
381,Q15113,['PCOLCE'],[False]
382,P52948,['NUP98'],[False]
383,P16333,['NCK1'],[False]
384,O00410,['IPO5'],[False]
385,Q8NBP7,['PCSK9'],[False]
386,O96028,['NSD2'],[False]
387,O14497,['ARID1A'],[False]
388,Q06710,['PAX8'],[False]
389,O00548,['DLL1'],[False]
390,Q58F21,['BRDT'],[False]
391,P60604,['UBE2G2'],[False]
392,P30307,['CDC25C'],[False]
393,Q9UK55,['SERPINA10'],[False]
394,Q07955,['SRSF1'],[False]
395,Q96IZ0,['PAWR'],[False]
396,Q04656,['ATP7A'],[False]
397,P15374,['UCHL3'],[False]
398,P20592,['MX2'],[False]
399,P63098,['PPP3R1'],[False]
400,Q12962,['TAF10'],[False]
401,Q99075,['HBEGF'],[False]
402,Q92743,['HTRA1'],[False]
403,Q9H9B1,['EHMT1'],[False]
404,P16050,['ALOX15'],[False]
405,Q8NER1,['TRPV1'],[False]
