,GO terms,Common Intersections
185,GO:0007275,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT']"
186,GO:0071214,[]
187,GO:0040011,"['RTN4', 'ABL1', 'OGT']"
188,GO:0010001,"['ABL1', 'MAPT']"
189,GO:0009056,"['EIF4G1', 'ABL1', 'OGT', 'MAPT', 'CDKN2A', 'DAPL1']"
190,HPA:0180000,"['EIF4G1', 'ABL1', 'CDKN2A', 'OGT', 'DAPL1']"
191,GO:0060205,[]
192,HPA:0190222,"['OGT', 'EIF4G1']"
193,GO:0051960,"['RTN4', 'MAPT']"
194,GO:0031327,"['EIF4G1', 'CDKN2A', 'MAPT', 'OGT', 'DAPL1']"
195,GO:0009725,['OGT']
196,GO:0002696,['ABL1']
197,GO:0071478,[]
198,GO:0051301,['CDKN2A']
199,GO:0010256,['RTN4']
200,GO:0031328,"['EIF4G1', 'ABL1', 'CDKN2A', 'RTN4', 'OGT']"
201,GO:0030330,['CDKN2A']
202,GO:0099081,['MAPT']
203,GO:0048589,"['RTN4', 'ABL1', 'MAPT']"
204,GO:0051173,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT']"
205,GO:0043393,['ABL1']
206,GO:0051241,"['RTN4', 'OGT', 'CDKN2A', 'DAPL1']"
207,GO:0002831,['RTN4']
208,GO:0009966,"['ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
209,GO:0050728,[]
210,GO:0005524,"['ABL1', 'EIF4G1']"
211,GO:0048514,"['RTN4', 'ABL1']"
212,HPA:0050091,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT']"
213,GO:0120039,"['RTN4', 'ABL1', 'MAPT']"
214,HPA:0610832,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
215,GO:0097447,"['ABL1', 'MAPT']"
216,GO:0031647,"['RTN4', 'CDKN2A']"
217,GO:0032940,[]
218,GO:0002694,"['ABL1', 'CDKN2A', 'DAPL1']"
219,GO:0043025,"['ABL1', 'MAPT']"
220,GO:0032879,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
221,GO:0072331,['CDKN2A']
222,GO:0044089,"['ABL1', 'EIF4G1', 'MAPT']"
223,GO:0030424,"['ABL1', 'MAPT']"
224,GO:1900182,['CDKN2A']
225,GO:0045862,"['MAPT', 'CDKN2A', 'OGT']"
226,HPA:0530711,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
227,GO:0061024,['RTN4']
228,GO:0031981,"['ABL1', 'MAPT', 'OGT', 'CDKN2A']"
229,HPA:0160251,"['ABL1', 'CDKN2A', 'EIF4G1']"
230,GO:0050794,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
231,REAC:R-HSA-1643685,"['ABL1', 'CDKN2A']"
232,GO:0043227,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT']"
233,GO:0032869,['OGT']
234,GO:0048699,"['EIF4G1', 'ABL1', 'TUG1', 'MAPT', 'RTN4']"
235,GO:0140096,"['ABL1', 'OGT', 'CDKN2A']"
236,GO:0097193,['ABL1']
237,GO:0002521,"['ABL1', 'CDKN2A']"
238,GO:1903320,"['ABL1', 'CDKN2A', 'OGT']"
239,GO:0043933,"['EIF4G1', 'ABL1', 'MAPT', 'RTN4', 'OGT']"
240,GO:0019438,"['ABL1', 'OGT', 'CDKN2A']"
241,GO:0065008,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
242,HPA:0170251,"['ABL1', 'CDKN2A']"
243,WP:WP2380,['MAPT']
244,GO:0006996,"['ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
245,GO:0040008,"['EIF4G1', 'ABL1', 'MAPT', 'RTN4', 'CDKN2A']"
246,GO:0010556,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
247,GO:0051170,[]
248,KEGG:01521,[]
249,GO:0008289,"['MAPT', 'OGT']"
250,GO:0034774,[]
251,GO:0044419,"['RTN4', 'ABL1']"
252,GO:0051338,"['ABL1', 'CDKN2A', 'MAPT']"
253,WP:WP5124,"['RTN4', 'MAPT']"
254,KEGG:04068,[]
255,GO:0031668,"['OGT', 'EIF4G1', 'DAPL1']"
256,WP:WP5420,['ABL1']
257,HPA:0380000,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
258,HPA:0130000,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
