,Interactor A,Interactor B
21,Q676U5,"['Q12905', 'O14733', 'O14974', 'Q9BXS4', 'P04150', 'P15311', 'P55036', 'A1A4Y4', 'Q96CV9', 'Q00653', 'Q96RF0', 'Q15717', 'Q676U5', 'P42574', 'P09651', 'P15498', 'P11387', 'Q8TDY2', 'P31153', 'O75143', 'P23588', 'Q9BXW4', 'O94817', 'P50750', 'P01116', 'Q13043', 'P15927', 'P07900', 'P42224', 'O14776', 'Q13547', 'Q9H082', 'Q14088', 'P63104', 'Q9BSB4', 'Q9BRZ2', 'Q9Y6K9', 'Q9Y4P8', 'Q9H1Y0', 'Q5MNZ9', 'P84022', 'O43353', 'Q9H8M9', 'P17480', 'O75385', 'P22626', 'P50570', 'Q96NL1', 'Q9UHD2', 'P08047', 'Q07912', 'Q9NT62', 'Q7KZF4', 'P13010', 'Q00610', 'Q7Z3C6', 'Q9HC29', 'Q9UN86', 'P60520', 'Q9GZQ8', 'Q9Y239', 'Q13526', 'P55072', 'Q8IZQ1', 'Q14457', 'Q14258', 'P42858', 'Q13501', 'Q99623']"
22,Q13049,"['P10275', 'Q9NYB9', 'P19793', 'P49736', 'P01106', 'P51617', 'P25054', 'P04198', 'O15350', 'Q13137', 'P04637', 'Q13501', 'Q9UHD9', 'P03372', 'P51965', 'Q07817', 'Q86WV6', 'P98170', 'P46531']"
23,Q7Z3C6,"['P01111', 'P55061', 'P12931', 'Q7Z3C6', 'Q9Y2M5', 'Q96NL1', 'Q9UHD2', 'Q8N5K1', 'Q96CV9', 'P17931', 'P55072', 'Q2TAZ0', 'P16070', 'Q13137', 'Q96GF1', 'Q5MNZ9', 'Q9GZQ8', 'O75385', 'Q676U5', 'P63104', 'Q13501', 'Q14596', 'Q8NEM7', 'Q92609']"
24,Q6ZNE5,"['Q8TDY2', 'Q96CV9', 'Q8NEB9', 'Q14457', 'Q15717', 'P56962']"
25,Q9NRR5,"['Q9UHD9', 'P54725', 'P19793', 'P46379', 'P55036', 'P05121', 'P10451', 'Q92783', 'Q13526']"
26,P61019,"['P04049', 'P29317', 'P07948', 'P12931', 'P11166', 'P41743', 'Q9H8Y8', 'Q13464', 'P15927', 'P52799', 'Q13137', 'Q8IWJ2', 'P46531', 'Q13501', 'Q92597', 'P49757', 'P63000', 'P62330', 'P20340']"
27,Q96CV9,"['P61006', 'P05067', 'P40763', 'Q13148', 'Q9HAD4', 'Q00610', 'P35637', 'Q9GZQ8', 'O75385', 'P63000', 'Q16543', 'Q676U5', 'P55072', 'P08621', 'Q86VP1', 'Q9BXK5', 'Q9BXW4', 'P42858', 'Q13501', 'Q6ZNE5', 'P00441', 'Q9UMX0', 'P38936', 'Q8TDY2', 'Q96CV9', 'Q9HA65', 'Q9Y6K9', 'Q15717', 'Q9Y4P8', 'Q8WZ42', 'O95166', 'Q9H0U4', 'Q9H0R8', 'Q7Z3C6', 'Q14694', 'Q14596', 'P50570', 'O43318', 'Q9Y2Z0', 'Q9H492', 'P51149', 'Q9NQC7', 'Q9UHD2', 'Q99497', 'Q15796', 'P60520', 'Q9H1Y0', 'P62826', 'P63104', 'Q9Y3D6', 'Q6IQ22', 'Q16236', 'P51617', 'Q13137', 'P21580']"
28,P56962,"['Q96JC1', 'Q9BXW4', 'P01116', 'P06400', 'Q9UEU0', 'P40763', 'Q9P253', 'P49754', 'P12931', 'P00533', 'Q9BV40', 'Q9H270', 'Q6ZNE5', 'Q96AX1', 'O95721', 'Q9H269']"
29,Q99570,"['Q9BXW4', 'Q8NEB9', 'P42345', 'Q14457', 'P01106', 'P00533']"
30,Q9UQN3,"['P40337', 'Q13501', 'Q9Y3E7', 'P60709', 'Q9NUM4', 'P05067']"
31,Q96AX1,"['Q8NEB9', 'P56962']"
32,O75143,"['Q8IYT8', 'Q676U5', 'Q9BXW4', 'Q8NEB9', 'P58004', 'Q14457', 'Q9C0C7', 'Q8TDY2']"
33,Q9BY43,"['Q9Y3E7', 'O95630', 'P00533']"
34,Q9Y3E7,"['Q9BY43', 'O95630', 'Q9H444', 'Q9UQN3', 'O43633', 'Q9UN37', 'Q9NP79', 'Q7LBR1', 'Q92783', 'Q9NZZ3', 'Q9Y3E7']"
35,Q13137,"['P55072', 'P56524', 'Q13501', 'P01106', 'Q13137', 'Q9UHD9', 'P61006', 'Q96F24', 'P54646', 'O75385', 'P26196', 'Q86VP1', 'P11166', 'Q9UPY3', 'O00214', 'Q9BXW4', 'Q14596', 'Q9Y4K3', 'Q15843', 'Q13049', 'P21580', 'P51149', 'Q14653', 'Q8TDY2', 'P61019', 'Q9Y6K9', 'O95166', 'Q9H0R8', 'Q7Z3C6', 'P24928', 'P62820', 'P27797', 'Q9H492', 'Q9UHD2', 'P0DMV9', 'P11142', 'P49841', 'Q00610', 'Q96CV9', 'P60520', 'Q9GZQ8', 'Q10589', 'P07199']"
36,Q96A56,"['P04637', 'Q13501', 'Q15717', 'Q9BXW4']"
37,P60520,"['P0DMV9', 'Q9UKV8', 'P63104', 'Q13501', 'P13010', 'P06748', 'Q04637', 'Q15717', 'Q01484', 'P00533', 'P05455', 'P62805', 'P07237', 'Q9BXW4', 'P05106', 'Q99623', 'O15118', 'Q9GZZ9', 'Q9UL18', 'P04626', 'Q9Y4P1', 'O00571', 'Q92499', 'P27797', 'P19525', 'Q9NT62', 'Q96CV9', 'Q13148', 'Q676U5', 'P04637', 'Q8IYT8', 'P06702', 'Q13137']"
38,Q96CF2,"['O95630', 'P45973', 'O95391', 'Q9Y5B0', 'P09429', 'P63104', 'Q9NQS7', 'Q9NQI0', 'P52272', 'O15392', 'P39748', 'P27797', 'P63241', 'P49327', 'P40818', 'P21333', 'Q96GD4', 'P07355', 'P62826', 'O14974', 'P06748']"
39,Q9NZZ3,"['O95630', 'Q96B97', 'Q9Y3E7']"
40,O95166,"['P18507', 'Q15717', 'P41743', 'Q9BXW4', 'P05106', 'Q96CV9', 'Q8TDY2', 'Q9Y4P1', 'P27797', 'P63241', 'Q13137', 'Q13043', 'O95197', 'Q9NT62', 'P63104', 'Q13501', 'Q9C0C7', 'Q01484']"
41,O94817,"['P42858', 'Q99623', 'Q05397', 'Q676U5', 'P29317', 'Q14457', 'Q9Y4P1', 'O15392', 'Q9NT62', 'P10415', 'P49757', 'Q07820', 'Q8TDY2']"
42,Q9P253,"['Q09472', 'Q92871', 'P56962', 'Q9UJY5', 'P55072', 'Q9BZV1']"
43,Q9C0C7,"['P07900', 'Q9GZQ8', 'Q13501', 'Q8N6T7', 'Q5MNZ9', 'Q14457', 'P11142', 'O75385', 'Q9Y4K3', 'P37840', 'Q8NEB9', 'P62877', 'P10415', 'P01106', 'A8MW95', 'Q9H492', 'Q9NT62', 'Q9C0C7', 'Q9Y4P1', 'P24385', 'O95166', 'O75143']"
44,Q96GC9,"['Q07157', 'Q8N5K1', 'P02545', 'Q15717', 'Q14457', 'P03372', 'Q13586', 'Q8NEB9', 'Q16790', 'Q10589']"
45,Q96LT7,"['Q9BPZ7', 'O75817', 'Q9Y3D6', 'Q8TDY2', 'P35637', 'Q15717', 'Q14318', 'P04626']"
46,P48426,"['P78356', 'P01106', 'P61073', 'O60885', 'Q13526']"
47,P78356,"['P48426', 'P78356', 'O60885']"
48,Q96F24,"['Q8TDY2', 'Q13137', 'Q13501', 'Q8NEB9', 'Q14457', 'P19793']"
49,A1A4Y4,"['Q676U5', 'Q14457', 'Q9Y239']"
50,Q9H269,"['P42345', 'P13569', 'Q9BZV1', 'P01106', 'P04637', 'Q92871', 'P61073', 'P56962']"
51,Q86VP1,"['Q9Y6K9', 'Q96CV9', 'O00214', 'Q6GQQ9', 'Q13137', 'P13569', 'P35222', 'Q13501', 'P09038', 'Q9UHD9', 'P21580', 'Q9H0E2', 'P27695', 'Q13547', 'Q8TDY2']"
52,Q9HBF4,"['O00411', 'Q07817', 'Q10589']"
53,Q14596,"['P40818', 'P21333', 'P30260', 'P09012', 'Q8TDY2', 'Q9UHD9', 'Q13137', 'P31431', 'P41743', 'Q13501', 'Q96CV9', 'Q9BXW4', 'P42858', 'P04637', 'P63165', 'Q8WZ42', 'Q7Z3C6', 'Q9H0E2']"
54,Q9ULC3,"['P01116', 'P01111', 'P63000', 'P01112', 'P62330', 'P07948']"
55,Q86WV6,"['Q8N884', 'P40763', 'Q9NQC7', 'Q9UHD2', 'Q9BRZ2', 'P04637', 'Q9Y679', 'Q16666', 'P51617', 'P42226', 'Q92995', 'Q86WV6', 'Q13049', 'Q9Y4K3', 'Q14653']"
56,Q9Y679,"['P11166', 'P08514', 'O15118', 'Q86WV6', 'P04035', 'P60604', 'P13569', 'P04150', 'P55072']"
57,Q9H270,"['P15311', 'P56962']"
58,Q9H2M9,"['P49257', 'P55072', 'P13569', 'P62330', 'O95292']"
59,Q3MII6,['Q9BXW4']
60,Q5MNZ9,"['Q9C0C7', 'Q2TAZ0', 'Q676U5', 'Q7Z3C6', 'Q14457']"
61,Q9HD42,"['O75469', 'O95630', 'Q92800', 'P40818', 'P49736']"
62,Q96NL1,"['Q7Z3C6', 'Q676U5']"
63,Q6ZNE9,['Q9BXW4']
64,O43633,"['Q9Y3E7', 'O95630', 'Q9UBP0']"
65,Q562E7,"['Q13501', 'Q14457', 'Q9BXW4']"
66,Q9HA65,"['Q96CV9', 'Q9Y3D6', 'P61073']"
67,Q7Z6L1,['Q9NT62']
68,Q674R7,['Q15004']
69,O95721,"['P60880', 'P56962', 'P63027']"
70,Q13286,"['O15118', 'P51617']"
71,Q96FZ7,"['P01116', 'Q86VN1', 'Q9BRG1', 'Q96H20']"
72,Q7LBR1,"['P40818', 'Q14258', 'Q9Y3E7', 'Q9UBP0', 'O95630']"
73,P54257,"['P54252', 'P08670', 'P0DMV9', 'P42858']"
74,Q9P2Y5,"['Q07812', 'Q8NEB9', 'P62877', 'P42345', 'Q14457']"
75,O15321,['O95197']
76,Q92609,"['P01116', 'Q7Z3C6']"
77,Q6IQ22,['Q96CV9']
78,Q9NQ11,['Q6DD88']
79,Q9UIK4,[]
80,P02794,[]
81,Q6PHR2,[]
82,A8K0Z3,[]
83,O15553,[]
84,Q8IUC6,[]
85,A6NCE7,[]
86,Q8N9B5,[]
87,Q13772,[]
88,Q969Q5,[]
89,O75787,[]
90,Q9Y227,[]
91,Q8TDD5,[]
92,Q8WUD1,[]
93,O60347,[]
94,Q8TD08,[]
95,Q9GZU2,[]
