GO terms,Common Intersections
GO:0010604,"['TOLLIP', 'ABL1', 'SQSTM1', 'LYN', 'SRC', 'MARK2', 'NOD1', 'OGT', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'INHBA', 'BCL2', 'SNF8', 'MAPK3', 'PRKN', 'VCP', 'RB1CC1', 'MTOR']"
HPA:0220051,"['TOLLIP', 'AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'ATG4B', 'UBXN6', 'SRC', 'MARK2', 'ABI2', 'UBQLN2', 'PIK3C3', 'LGALS8', 'TRAPPC4', 'NPC1', 'CHMP3', 'CLEC16A', 'CISD2', 'OGT', 'STAM', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'PSEN1', 'AP4M1', 'ULK2', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ARSB', 'UBA5', 'ATG16L1', 'PEX5']"
GO:0006606,"['PHB2', 'SQSTM1', 'TP53', 'PSEN1', 'EPM2A']"
GO:1900180,"['MTOR', 'EPM2A', 'PSEN1', 'SRC']"
GO:2001233,"['PRKN', 'TP53', 'BECN1', 'PSEN1', 'SRC', 'RB1CC1', 'INHBA', 'BCL2', 'S100A9']"
KEGG:05131,"['FOXO1', 'STING1', 'MAPK3', 'SQSTM1', 'TP53', 'BECN1', 'SRC', 'MAP1LC3C', 'BNIP3', 'BCL2', 'MTOR', 'NOD1', 'PIK3C3', 'ATG16L1', 'CALCOCO2']"
GO:0045937,"['ABL1', 'PHB2', 'SQSTM1', 'TP53', 'LYN', 'PSEN1', 'VCP', 'SRC', 'RB1CC1', 'MARK2', 'INHBA', 'MTOR', 'BCL2']"
GO:0045321,"['TOLLIP', 'ABL1', 'AMBRA1', 'HMGB1', 'PHB2', 'TP53', 'LYN', 'PSEN1', 'SRC', 'INHBA', 'MTOR', 'BCL2']"
GO:0030162,"['PRKN', 'TP53', 'LYN', 'PSEN1', 'VCP', 'SRC', 'OGT', 'UBQLN2', 'EPM2A']"
GO:0042060,"['CHMP3', 'LYN', 'MTOR', 'SRC']"
GO:0051234,"['ATG9A', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'ATG2A', 'ATG4B', 'SRC', 'UBXN6', 'VPS25', 'UBQLN2', 'PIK3C3', 'TRAPPC4', 'NPC1', 'CHMP3', 'CLEC16A', 'EPM2A', 'PIP4K2B', 'STAM', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'AP4M1', 'MAP1LC3C', 'MCOLN1', 'INHBA', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'ARSB', 'ATG16L1', 'PEX5']"
GO:0043005,"['PRKN', 'ABL1', 'PHB2', 'BECN1', 'PSEN1', 'SRC', 'MARK2', 'ABI2', 'BNIP3', 'MTOR', 'EPM2A', 'TRAPPC4']"
HPA:0460671,"['TOLLIP', 'SQSTM1', 'BECN1', 'UBXN6', 'MARK2', 'ABI2', 'UBQLN2', 'PIK3C3', 'NPC1', 'TRAPPC4', 'CHMP3', 'CLEC16A', 'CISD2', 'OGT', 'STAM', 'ATG3', 'FOXO1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'ULK2', 'BNIP3', 'BCL2', 'SNF8', 'MAPK3', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'ARSB', 'ATG16L1', 'PEX5']"
GO:0099512,"['SQSTM1', 'PSEN1', 'SRC', 'MARK2', 'MAP1LC3C', 'CHMP3']"
GO:0035639,"['MAPK3', 'UBA5', 'ABL1', 'LYN', 'VCP', 'SRC', 'MARK2', 'ULK2', 'MTOR', 'PIP4K2B', 'NOD1', 'PIK3C3']"
WP:WP5331,"['PRKN', 'HMGB1', 'SQSTM1', 'TP53', 'BECN1']"
GO:0048583,"['AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'SRC', 'VPS25', 'UBQLN2', 'NOD1', 'S100A9', 'NPC1', 'CLEC16A', 'OGT', 'PIP4K2B', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'INHBA', 'BCL2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'RB1CC1', 'MTOR', 'UBA5']"
GO:0009057,"['TOLLIP', 'AMBRA1', 'SQSTM1', 'BECN1', 'UBXN6', 'VPS25', 'UBQLN2', 'CHMP3', 'OGT', 'EPM2A', 'STAM', 'FOXO1', 'PSEN1', 'BNIP3', 'SNF8', 'PRKN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR']"
GO:0098813,"['BECN1', 'CHMP3']"
HPA:0600431,"['TOLLIP', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'ATG4B', 'UBXN6', 'ABI2', 'UBQLN2', 'PIK3C3', 'LGALS8', 'CHMP3', 'CISD2', 'OGT', 'STAM', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'PSEN1', 'AP4M1', 'ULK2', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'ARSB', 'UBA5', 'PEX5']"
HP:0100851,"['PRKN', 'UBA5', 'OPTN', 'SQSTM1', 'TP53', 'PSEN1', 'CISD2', 'VCP', 'UBQLN2', 'EPM2A']"
GO:0032182,"['TOLLIP', 'PRKN', 'SQSTM1', 'VPS36', 'NOD1', 'STAM']"
GO:0030659,"['ATG9A', 'LYN', 'BECN1', 'UBXN6', 'VPS25', 'PIK3C3', 'NPC1', 'CHMP3', 'CLEC16A', 'STAM', 'STING1', 'PSEN1', 'ULK2', 'MCOLN1', 'SNF8', 'STX17', 'OPTN', 'VPS36', 'ATG16L1']"
GO:0019898,"['TOLLIP', 'LYN', 'BECN1', 'SRC', 'PIK3C3']"
GO:0019725,"['FOXO1', 'PRKN', 'MAPK3', 'AMBRA1', 'ABL1', 'LYN', 'PSEN1', 'OGT', 'MCOLN1', 'BNIP3', 'BCL2', 'S100A9']"
GO:0009408,"['MTOR', 'LYN', 'VCP']"
GO:1900542,"['TP53', 'VCP', 'PSEN1', 'OGT', 'MTOR']"
GO:0050790,"['PRKN', 'MAPK3', 'ABL1', 'HMGB1', 'PHB2', 'TP53', 'LYN', 'PSEN1', 'VCP', 'SRC', 'MARK2', 'VPS25', 'EPM2A']"
GO:0023056,"['AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'SRC', 'NOD1', 'S100A9', 'CLEC16A', 'OGT', 'STING1', 'HMGB1', 'PHB2', 'TP53', 'PSEN1', 'INHBA', 'PRKN', 'MAPK3', 'VCP', 'RB1CC1', 'MTOR']"
GO:0140096,"['PRKN', 'MAPK3', 'UBA5', 'ABL1', 'LYN', 'PSEN1', 'ATG4B', 'SRC', 'OGT', 'MARK2', 'ULK2', 'MTOR', 'EPM2A', 'PIK3C3', 'ATG16L1', 'ATG3']"
GO:0065008,"['ATG9A', 'ABL1', 'SQSTM1', 'LYN', 'SRC', 'MARK2', 'ABI2', 'CHMP3', 'OGT', 'FOXO1', 'HMGB1', 'PHB2', 'TP53', 'PSEN1', 'ULK2', 'INHBA', 'BNIP3', 'SNF8', 'BCL2', 'PRKN', 'VCP', 'RB1CC1', 'MTOR']"
GO:0043549,"['PRKN', 'ABL1', 'PHB2', 'LYN', 'SRC', 'MARK2', 'VPS25']"
GO:0044085,"['ATG9A', 'AMBRA1', 'ABL1', 'SQSTM1', 'BECN1', 'ATG2A', 'ATG4B', 'SRC', 'ABI2', 'VPS25', 'UBQLN2', 'PIK3C3', 'TRAPPC4', 'CHMP3', 'OGT', 'EPM2A', 'PIP4K2B', 'STAM', 'ATG3', 'STING1', 'HMGB1', 'TP53', 'PSEN1', 'AP4M1', 'MAP1LC3C', 'ULK2', 'MCOLN1', 'BCL2', 'SNF8', 'STX17', 'PRKN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ATG16L1', 'PEX5']"
HPA:0430051,"['TOLLIP', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'ATG4B', 'UBXN6', 'SRC', 'MARK2', 'ABI2', 'PIK3C3', 'LGALS8', 'TRAPPC4', 'NPC1', 'CHMP3', 'CLEC16A', 'CISD2', 'OGT', 'STAM', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'PSEN1', 'ULK2', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ARSB', 'UBA5', 'ATG16L1', 'PEX5']"
