Interactor A,Interactor B,Confidence Value
P11142,Q13509,0.63
O14964,Q9HBH5,0.63
Q8WUM4,P35270,0.63
Q8TDY2,Q9P2E9,0.63
O95166,Q86UE4,0.63
Q96CV9,P62851,0.63
P50851,Q13627,0.63
O94874,P55036,0.63
Q13501,Q9UBU9,0.63
P11142,A3KN83,0.63
P55072,Q9H4A3,0.63
Q8WUM4,P35240,0.63
Q8TDY2,P40763,0.63
O43633,P33240,0.63
Q5S007,O14646,0.63
O95166,P36639,0.63
Q96CV9,P13010,0.63
O94874,Q8NCE2,0.63
P07948,Q53SF7,0.63
P09429,P23025,0.63
Q8WUM4,P35613,0.63
Q8TDY2,Q9ULG6,0.63
O43633,O15551,0.63
Q5S007,Q5SRE5,0.63
O95166,Q13131,0.63
Q96CV9,P53992,0.63
Q5S007,P41161,0.63
P55072,P27361,0.63
P07948,Q8TBZ3,0.63
P09429,O60729,0.63
Q8TDY2,O75844,0.63
Q5S007,O95470,0.63
O95166,Q9Y333,0.63
Q96CV9,Q15043,0.63
P10415,Q86SR1,0.63
P55072,Q9BV68,0.63
P07948,O60503,0.63
P09429,Q9NQ31,0.63
P50542,O14880,0.63
Q8TDY2,Q96JN8,0.63
Q8WUX9,O00148,0.63
Q5S007,O95347,0.63
O95166,P14136,0.63
O94874,O95881,0.63
Q13501,Q9UNG2,0.63
Q14457,Q16891,0.63
P55072,Q9Y3P9,0.63
P07948,Q9Y6M4,0.63
P09429,P68032,0.63
P50542,O60641,0.63
Q5S007,Q9UI30,0.63
O95166,O60238,0.63
Q6UWE0,Q13283,0.63
O94874,Q9UI30,0.63
Q13501,Q9NX47,0.63
P55072,Q9Y5B9,0.63
P09429,Q9P227,0.63
P50542,Q14318,0.63
O43353,O14818,0.63
Q8N5K1,P14854,0.63
Q5S007,O96008,0.63
O94874,P47989,0.63
Q16666,Q9NRG9,0.63
Q14457,Q13619,0.63
P55072,Q99832,0.63
P07948,P35240,0.63
P09601,P78317,0.63
Q8N5K1,Q9Y6C9,0.63
Q5S007,P35221,0.63
P60520,P28340,0.63
O94874,P62244,0.63
Q16666,Q96SB4,0.63
P55072,Q9Y376,0.63
P07948,Q13464,0.63
P09601,Q92611,0.63
P48426,Q14241,0.63
Q96A37,O60547,0.63
Q8N5K1,Q9BUN8,0.63
Q5S007,Q9BTT0,0.63
O94874,Q02878,0.63
Q16666,Q8NAV1,0.63
P55072,O14757,0.63
P07948,Q9P2D6,0.63
P78356,P24844,0.63
Q8N5K1,Q12846,0.63
P60520,P33316,0.63
O94874,P19474,0.63
Q16666,Q8WUM4,0.63
P55061,Q96AJ9,0.63
P07948,Q5VT25,0.63
P78356,O43865,0.63
Q5S007,P61513,0.63
P60520,Q86V81,0.63
P04637,Q96PM9,0.63
O94874,P62829,0.63
Q16666,Q92621,0.63
Q12983,Q9H492,0.63
P55072,Q92797,0.63
P07948,O95297,0.63
P05109,Q14690,0.63
Q5S007,O43707,0.63
P60520,Q99729,0.63
P07948,O15400,0.63
O94874,Q9NY12,0.63
Q16666,P09913,0.63
P55072,O15438,0.63
P42338,Q9P0K8,0.63
P06702,P11387,0.63
Q00610,Q14974,0.63
Q5S007,Q16740,0.63
P60520,Q8IY81,0.63
P04637,O75478,0.63
P07948,Q69YN4,0.63
O94874,Q13242,0.63
P12931,P28702,0.63
Q16666,Q14192,0.63
Q13137,Q8TBZ8,0.63
Q00610,P31749,0.63
P60520,P25311,0.63
P04637,Q12980,0.63
O94874,Q2NL82,0.63
Q16666,Q9BZF1,0.63
Q13137,Q8IY34,0.63
P55072,Q08378,0.63
O95140,Q96DW6,0.63
Q96AG3,O95486,0.63
Q5S007,P63241,0.63
Q66K74,Q08AD1,0.63
O94874,Q9GZR7,0.63
Q16666,Q3KQU3,0.63
Q13137,Q6VB84,0.63
P55072,P62314,0.63
O95140,O00429,0.63
P07900,P62304,0.63
Q96AG3,Q9UGP8,0.63
Q00610,Q9C000,0.63
Q5S007,P32119,0.63
O94874,Q96JB3,0.63
Q13137,Q92947,0.63
P55072,Q9H9H4,0.63
O95140,Q15008,0.63
Q96AG3,P18031,0.63
Q00610,P61020,0.63
Q6UWE0,Q6ZNA4,0.63
P04637,Q92759,0.63
Q7KZI7,P25054,0.63
O94874,Q9ULV4,0.63
Q16666,Q99873,0.63
Q13137,Q01813,0.63
P55072,Q9NQY0,0.63
Q96AG3,Q8IXI1,0.63
Q00610,Q9BRS2,0.63
P04637,O60343,0.63
Q7KZI7,Q96S59,0.63
O94874,P20648,0.63
Q16666,P26373,0.63
Q13137,Q01081,0.63
P55072,O14524,0.63
P07900,P35637,0.63
Q96AG3,Q8TEV9,0.63
Q00610,P05154,0.63
P10253,Q9UM00,0.63
P04637,Q16576,0.63
Q7KZI7,Q03135,0.63
O94874,P22234,0.63
P12931,Q9Y279,0.63
P10253,P27824,0.63
P04637,P46781,0.63
Q7KZI7,O95159,0.63
Q16666,Q96FX7,0.63
Q13137,P61019,0.63
Q8TEV9,Q969Q5,0.63
Q00610,P05771,0.63
O94874,Q13610,0.63
P12931,P78423,0.63
Q16666,O60292,0.63
Q13137,Q9NP72,0.63
P07900,P36952,0.63
Q676U5,P06241,0.63
O95295,P51946,0.63
Q00610,P54252,0.63
P04637,P61962,0.63
O94874,P63010,0.63
P12931,P13164,0.63
Q16666,O14744,0.63
Q13137,Q9H0F6,0.63
Q676U5,P62937,0.63
Q00610,Q9H4E5,0.63
P07948,Q16851,0.63
Q8NHS3,P30518,0.63
O94874,Q8WVV9,0.63
Q92783,P50454,0.63
Q13137,Q9P1Z2,0.63
Q86WV6,O60669,0.63
P07900,Q96RK0,0.63
Q676U5,P40938,0.63
Q13286,P41587,0.63
P07948,P04350,0.63
P04637,P39019,0.63
O94874,P24752,0.63
Q86WV6,Q16740,0.63
P49768,Q9Y5Y3,0.63
P10909,Q9Y297,0.63
P04637,P06753,0.63
Q92783,Q9P2W7,0.63
Q02556,Q12857,0.63
Q5BJD5,Q9HAV4,0.63
P07900,Q8TB96,0.63
Q676U5,Q13043,0.63
P10909,P00533,0.63
P04637,Q8IVB4,0.63
P27361,Q13444,0.63
P16144,Q12772,0.63
Q5BJD5,O75477,0.63
P62820,P35244,0.63
Q676U5,Q12962,0.63
P10909,Q92610,0.63
P27361,P49736,0.63
Q13131,Q8IXK0,0.63
O75886,O95661,0.63
Q5BJD5,P42677,0.63
P62820,P16949,0.63
Q676U5,Q92828,0.63
P10909,Q6ZRI8,0.63
P04637,O75844,0.63
P27361,Q9NVF9,0.63
P13473,Q92542,0.63
Q96CF2,Q5VW32,0.63
P62820,O43493,0.63
Q676U5,O15294,0.63
P10909,A7E2F4,0.63
P04637,O60331,0.63
P27361,P56945,0.63
O95210,P60468,0.63
Q96CF2,O75340,0.63
Q13049,Q9H0X6,0.63
P11142,Q8NC60,0.63
P62820,P61964,0.63
Q676U5,O60869,0.63
Q96BY2,Q9UHD9,0.63
P54646,Q495M9,0.63
O95210,Q8WXI8,0.63
Q96CF2,O95391,0.63
P62820,Q9BXW9,0.63
Q676U5,Q8TEQ6,0.63
P12109,Q7Z4W2,0.63
P04637,Q15828,0.63
P54646,Q01850,0.63
Q96CF2,P40429,0.63
Q14694,Q15393,0.63
Q13496,P51665,0.63
P60520,P62266,0.63
Q676U5,P43243,0.63
Q13501,Q92997,0.63
P12109,Q9BXJ1,0.63
P04637,Q9BSJ2,0.63
P54646,P60411,0.63
Q15831,Q9UHD8,0.63
P13473,Q6PML9,0.63
Q96CF2,Q15287,0.63
Q14694,Q16630,0.63
Q13615,Q04837,0.63
P11142,O15205,0.63
P61019,P38606,0.63
P60520,P12956,0.63
Q676U5,Q6I9Y2,0.63
Q13501,P13473,0.63
Q8N682,Q6UWJ8,0.63
P13473,P53367,0.63
Q96CF2,Q9UIF8,0.63
Q14694,P04843,0.63
Q8NCE2,Q15084,0.63
P61019,Q6P1J9,0.63
P60520,P83731,0.63
Q676U5,P05091,0.63
Q13501,P62873,0.63
P04637,P33176,0.63
Q14596,Q53EZ4,0.63
P13473,Q53EU6,0.63
Q96CF2,Q8IXI1,0.63
Q8NCE2,Q9H479,0.63
P61019,Q9GZQ8,0.63
P60520,Q99567,0.63
Q676U5,P82979,0.63
Q13501,Q9UNL2,0.63
P04637,P20700,0.63
Q14596,Q6ZS82,0.63
P00519,O43281,0.63
Q86Y82,P21796,0.63
P13473,P50402,0.63
Q96CF2,P00387,0.63
P60520,Q9HCC0,0.63
Q676U5,Q9UKF6,0.63
Q13501,Q13200,0.63
P04637,P05166,0.63
Q14596,Q9NX40,0.63
P00519,Q9UJV9,0.63
Q86Y82,Q13113,0.63
P13473,P20700,0.63
Q96CF2,Q9NWH9,0.63
P68543,Q9UNE7,0.63
Q14596,O75323,0.63
P11142,Q9NZ01,0.63
P60520,P19838,0.63
Q676U5,Q96BJ3,0.63
Q13501,O95613,0.63
P04637,P54277,0.63
O75323,Q9UBU9,0.63
P00519,P09874,0.63
Q86Y82,Q12797,0.63
P13473,P23470,0.63
Q96CF2,P31943,0.63
P61960,Q93008,0.63
Q14596,Q6PJ69,0.63
P11142,Q01196,0.63
P51149,P15927,0.63
P60520,P04259,0.63
Q676U5,Q86YP4,0.63
Q13501,Q99985,0.63
P50570,P42768,0.63
P04637,A6NL08,0.63
O75323,Q9H4M7,0.63
Q86Y82,P20338,0.63
P13473,Q08357,0.63
Q96CF2,O94805,0.63
Q14596,P25786,0.63
P51149,Q14839,0.63
Q70CQ3,P43361,0.63
P60520,Q16595,0.63
Q676U5,Q96A33,0.63
P50570,Q96HA8,0.63
P04637,O75534,0.63
O15118,Q86VZ1,0.63
Q5T8D3,P61586,0.63
P13473,Q8N4C8,0.63
Q96CF2,Q8IZT8,0.63
Q14596,O60568,0.63
P51149,Q8N6Q3,0.63
Q70CQ3,Q96TC7,0.63
Q676U5,P50570,0.63
Q13501,Q13724,0.63
P04637,Q9H2H9,0.63
Q96A56,P14866,0.63
Q96CF2,Q14257,0.63
Q8IYT8,O94776,0.63
Q14596,O43175,0.63
P51149,Q8NBF2,0.63
P61960,Q9Y478,0.63
Q676U5,P08238,0.63
Q13501,Q6DN90,0.63
P50570,Q9UJX6,0.63
P04637,O75352,0.63
P54802,Q9UK22,0.63
P13473,Q9UIJ5,0.63
Q96CF2,Q01813,0.63
Q8IYT8,P22626,0.63
Q14596,Q9H0U4,0.63
P51149,O00116,0.63
P54257,Q8TAB5,0.63
Q676U5,O14639,0.63
P50570,Q5T7P8,0.63
P04637,Q7L014,0.63
P20073,Q13573,0.63
Q86VP1,Q8WXW3,0.63
P13473,Q9NU19,0.63
Q96CF2,P62277,0.63
Q14596,P61106,0.63
P11142,P17735,0.63
P51149,P63000,0.63
P61960,Q9HBD1,0.63
Q969S8,P18847,0.63
Q13501,Q8NAV1,0.63
O14681,P04843,0.63
P04637,Q8N752,0.63
O15294,Q6ZNJ1,0.63
P20073,F7VJQ1,0.63
Q16635,Q9HCE1,0.63
P13473,Q9HD20,0.63
Q96CF2,P47914,0.63
Q96AX1,Q5JTW2,0.63
Q13501,Q7Z4W1,0.63
O14681,P47900,0.63
P04637,Q9Y5A9,0.63
P53365,Q96EV8,0.63
P13473,Q9Y2G0,0.63
Q96CF2,P14678,0.63
Q96AX1,P10244,0.63
Q13131,Q14157,0.63
Q13501,Q9NVI7,0.63
Q96EY5,Q9NR12,0.63
P04637,Q9HCC0,0.63
P53365,Q6ZPD8,0.63
Q96CF2,P21796,0.63
Q96AX1,Q8N4C6,0.63
O75323,P13073,0.63
P11142,Q96BJ8,0.63
Q96AX1,O14617,0.63
Q13131,P52597,0.63
Q13501,A6NCE7,0.63
P04637,P35611,0.63
Q92609,Q9HBH0,0.63
Q96CF2,P14625,0.63
Q96AX1,O00213,0.63
O15118,Q9Y2Q9,0.63
P11142,P09661,0.63
P61006,O14786,0.63
Q96AX1,O95994,0.63
O14964,Q86Y82,0.63
Q13131,P62854,0.63
P04637,Q8WXF1,0.63
Q96CF2,P37802,0.63
O15118,O15258,0.63
P11142,O60885,0.63
Q14964,Q9H0R8,0.63
O14964,Q96AA8,0.63
Q13131,P23396,0.63
P04637,Q7Z417,0.63
Q5VVQ6,Q5XPI4,0.63
P16615,P15735,0.63
P55072,P19532,0.63
Q96CF2,Q63HN8,0.63
O15118,P00387,0.63
P11142,P49721,0.63
A5D8V6,Q8NFZ5,0.63
O14964,Q8ND90,0.63
Q13131,Q92522,0.63
Q8NEM7,Q13257,0.63
Q5VVQ6,P17174,0.63
P55072,P01730,0.63
O00214,P00441,0.63
O15118,Q3MIP1,0.63
P11142,Q86WI3,0.63
A5D8V6,Q8IWL8,0.63
Q13131,Q9H9H4,0.63
P12931,P26373,0.63
P16615,Q8IUR7,0.63
P55072,O75369,0.63
P42704,P11142,0.63
Q8N5K1,Q9H115,0.63
O15118,P51148,0.63
P11142,Q06609,0.63
A5D8V6,Q99578,0.63
P09429,P40692,0.63
Q13131,Q76M96,0.63
P12931,P78329,0.63
P50542,Q9NTG7,0.63
P42704,Q9Y3D5,0.63
O15118,Q01650,0.63
P11142,Q8NCM2,0.63
P12931,O75717,0.63
P16615,Q9HAZ2,0.63
P55072,P61978,0.63
P42704,Q9NYK5,0.63
Q00610,Q99623,0.63
O15118,Q14994,0.63
P11142,Q15572,0.63
Q86VN1,Q5VYK3,0.63
P54646,Q13155,0.63
O95166,Q99569,0.63
P16615,Q9H2F3,0.63
P55072,Q13216,0.63
P42704,Q92947,0.63
O15118,Q9NX57,0.63
P11142,Q9NR33,0.63
Q96A37,Q7Z419,0.63
P49768,P09429,0.63
P16615,Q9BXK1,0.63
P42704,P32322,0.63
O15118,P35613,0.63
Q16666,Q9NR96,0.63
Q63HN8,Q96EZ8,0.63
P49754,O14595,0.63
P60520,Q9H492,0.63
O94817,Q9BTL4,0.63
P55072,P57078,0.63
P42704,Q9Y697,0.63
P05198,Q13573,0.63
P60520,Q8N653,0.63
P48426,Q8WXF1,0.63
Q2TAZ0,Q92731,0.63
P55072,Q9Y216,0.63
P42704,Q9H2U2,0.63
P05198,Q01844,0.63
Q63HN8,O15016,0.63
Q96AJ9,Q6P5W5,0.63
P09601,Q96KR6,0.63
P00519,Q14315,0.63
Q96BY7,P04629,0.63
P55072,P51970,0.63
Q13286,Q9HAV4,0.63
P05109,O60383,0.63
P00519,O14490,0.63
P62820,Q9UPY8,0.63
Q96BY7,O00165,0.63
P55072,P13674,0.63
P05109,O95817,0.63
Q8IZQ1,P47775,0.63
P62820,P09651,0.63
Q8NEB9,P55036,0.63
P55072,P17661,0.63
P00519,Q5S007,0.63
P62820,Q9UHQ9,0.63
P05109,O95047,0.63
P07900,Q12866,0.63
P00519,P61927,0.63
Q15831,P01112,0.63
Q969Q5,O00170,0.63
P04637,Q5T447,0.63
O95352,P27695,0.63
O14925,P61956,0.63
Q5S007,P06748,0.63
P05109,P07355,0.63
O14925,O60669,0.63
P51397,Q8IZJ1,0.63
P16144,Q16633,0.63
P06702,Q15004,0.63
Q5MNZ6,Q9NVM1,0.63
P07900,Q9NQ86,0.63
Q5T8D3,P37198,0.63
Q15831,O00267,0.63
P61019,Q9C0B5,0.63
Q7Z3C6,Q8IUG1,0.63
Q5S007,Q9BVA1,0.63
P14416,O95219,0.63
P16144,Q13627,0.63
P06702,O95232,0.63
P17861,Q969H0,0.63
Q5T8D3,Q8TEX9,0.63
Q15831,P01036,0.63
P61019,P98172,0.63
P04637,P08559,0.63
Q7Z3C6,P09382,0.63
Q5BJD5,Q6NUS6,0.63
Q5S007,O95394,0.63
P50570,O14576,0.63
P06702,Q86UK7,0.63
O43299,P21462,0.63
P07900,Q8N5U6,0.63
Q5T8D3,Q99733,0.63
P61019,O60245,0.63
P04637,Q9NWT6,0.63
Q5BJD5,Q9BUN8,0.63
Q5S007,P23497,0.63
P06702,P43357,0.63
Q8TC71,Q6ZW49,0.63
P07900,P17066,0.63
P20073,O94805,0.63
P61019,Q9Y277,0.63
P04637,Q15468,0.63
Q5S007,Q08E93,0.63
P06702,Q99814,0.63
P07900,P32298,0.63
P20073,P11177,0.63
P61019,P30825,0.63
Q13049,Q13489,0.63
Q5S007,P31751,0.63
Q96AX1,Q9BRZ2,0.63
P06702,Q8WX94,0.63
P42345,O43504,0.63
P07900,P29597,0.63
P20073,P27694,0.63
P56962,Q02413,0.63
P61019,P20020,0.63
Q13315,P01871,0.63
Q5S007,P54105,0.63
P50570,Q9Y5G2,0.63
A5D8V6,Q9NQG5,0.63
P06702,O95994,0.63
P42345,O60610,0.63
P07900,Q05397,0.63
P20073,Q9H0W9,0.63
P56962,P80188,0.63
P61019,O14654,0.63
Q13049,Q969U6,0.63
O95278,P48643,0.63
Q13488,Q9Y397,0.63
P42345,Q14258,0.63
P07900,Q9P2N7,0.63
O00189,P84243,0.63
P61019,Q8IYB1,0.63
Q14694,P01106,0.63
Q96AG3,Q7L0J3,0.63
P42345,P32971,0.63
P07900,Q14980,0.63
P53365,P49638,0.63
P56962,Q8WVF5,0.63
P61019,Q96A33,0.63
P10415,P30405,0.63
Q14694,O15119,0.63
O75351,P07437,0.63
P42345,Q9UHD2,0.63
P07900,O94921,0.63
P56962,Q9Y446,0.63
P61019,Q9NYI0,0.63
Q14694,Q9BYJ9,0.63
P42704,O15205,0.63
Q8TEV9,Q9Y3D6,0.63
Q92622,Q96KP1,0.63
P54257,O60502,0.63
Q14457,O00165,0.63
Q14694,O43623,0.63
Q5S007,P38117,0.63
P42704,Q9Y6Y0,0.63
Q8TEV9,P04844,0.63
Q8IXJ6,P22681,0.63
P07900,P31946,0.63
Q86VP1,Q86VF2,0.63
Q86YS6,P50395,0.63
Q92995,P78317,0.63
Q5S007,Q9H7D7,0.63
P42704,Q6NUN9,0.63
Q5MNZ9,Q9Y2R9,0.63
O94817,Q9Y4W6,0.63
Q86VP1,Q9BRP1,0.63
P55061,P30825,0.63
Q8NEM7,Q9NRR5,0.63
P42704,Q15029,0.63
P17861,Q13404,0.63
Q8IXJ6,Q13586,0.63
Q2TAZ0,O95487,0.63
Q86VP1,P06858,0.63
Q15751,Q8ND61,0.63
P55061,Q96AG4,0.63
Q5S007,Q9Y4C2,0.63
Q5T0N5,Q06787,0.63
O43299,P0DMV9,0.63
O95295,Q9H6Z9,0.63
Q2TAZ0,P23634,0.63
Q86VP1,P62857,0.63
Q15751,A0AVF1,0.63
P55061,Q6ICB0,0.63
O94874,Q96KC8,0.63
Q2TAZ0,O00186,0.63
Q86VP1,Q14680,0.63
O14964,O75674,0.63
Q12983,P02545,0.63
O95166,Q96QE5,0.63
P42704,Q96T52,0.63
O94874,Q969H0,0.63
P11142,P61923,0.63
Q86VP1,P24752,0.63
O14964,Q9Y3C5,0.63
Q12983,Q8TDT2,0.63
Q5S007,P29373,0.63
O95166,Q969T9,0.63
P42704,P00480,0.63
O95721,P84095,0.63
P11142,P50395,0.63
Q5S007,O75251,0.63
O95166,P10155,0.63
Q96CV9,P13533,0.63
P42704,Q8N490,0.63
O95721,Q13586,0.63
O95352,Q8WWN8,0.63
P61006,Q9NVJ2,0.63
Q13137,P30566,0.63
Q5S007,P53597,0.63
O95166,P31040,0.63
P42704,P04150,0.63
O95721,Q9Y6C9,0.63
O95352,Q15021,0.63
O14964,Q6BCY4,0.63
Q13137,P62979,0.63
Q5S007,A4D1P6,0.63
O95166,P31483,0.63
P42704,Q9BUB7,0.63
O94874,Q9NUD5,0.63
Q5VWJ9,P20338,0.63
Q7Z3C6,Q9BYR5,0.63
O14964,O43716,0.63
Q96DA2,Q8TF66,0.63
Q13137,Q96C86,0.63
Q5S007,Q86X83,0.63
O95166,Q96GM8,0.63
P42704,O14773,0.63
O94874,P41252,0.63
Q674R7,P15735,0.63
Q16635,P05165,0.63
O14964,P08779,0.63
P07339,Q9Y570,0.63
Q5S007,A6NHL2,0.63
Q96CV9,P24534,0.63
O94874,P13645,0.63
Q3MII6,Q9BVN2,0.63
O14964,P18206,0.63
Q8TDY2,P50402,0.63
Q5S007,P05089,0.63
O95166,P62241,0.63
Q96CV9,Q13505,0.63
O94874,P04080,0.63
P11142,Q2TB10,0.63
O14964,P22735,0.63
Q8WUM4,Q9NRC8,0.63
Q8TDY2,P49257,0.63
Q5S007,P31930,0.63
O95166,P62913,0.63
Q96CV9,P61020,0.63
P50851,Q69YN4,0.63
O94874,O95573,0.63
P11142,Q14814,0.63
Q13315,P22736,0.63
P55072,O75674,0.63
Q8WUM4,P61964,0.63
Q8TDY2,P83731,0.63
O95166,Q9H5H4,0.63
Q96CV9,P34741,0.63
P50851,Q8N6Y2,0.63
O94874,P28288,0.63
Q13315,Q9Y2K7,0.63
P55072,Q6UXN9,0.63
P07948,Q9BSJ8,0.63
Q8TDY2,P42166,0.63
O43633,Q9Y5L0,0.63
Q5S007,O14828,0.63
Q96CV9,Q13772,0.63
Q5S007,Q6IN85,0.63
O94874,P36873,0.63
Q13315,P68431,0.63
P55072,Q9H9E3,0.63
P07948,Q13433,0.63
P09429,Q9H967,0.63
Q8WUM4,Q15058,0.63
Q8TDY2,P50914,0.63
Q5S007,P47897,0.63
Q96CV9,P49588,0.63
Q5S007,Q5NDL2,0.63
O94874,P08865,0.63
Q13501,P22087,0.63
P55072,Q96EK5,0.63
P07948,Q9H0H5,0.63
P50542,O95989,0.63
Q8TDY2,P49755,0.63
Q8WUX9,Q13586,0.63
Q5S007,O95573,0.63
O95166,O95429,0.63
Q96CV9,P53999,0.63
O94874,Q9HCE1,0.63
P10415,P56589,0.63
P55072,Q9UHR4,0.63
P07948,P23634,0.63
P09429,Q969T4,0.63
P50542,P0DPD6,0.63
P49795,P25786,0.63
Q8WUX9,P04843,0.63
O95166,O95602,0.63
Q96CV9,Q9NV06,0.63
Q6UWE0,Q9H270,0.63
O94874,Q9Y2X3,0.63
P07948,P29317,0.63
P09429,P61964,0.63
P50542,Q9Y6C9,0.63
Q8N5K1,P21796,0.63
Q5S007,P21912,0.63
Q6UWE0,Q9BUE6,0.63
O94874,Q99615,0.63
Q13501,Q9Y5A7,0.63
Q16666,Q02880,0.63
Q14457,Q14687,0.63
P07948,Q9Y5X1,0.63
O43353,P15311,0.63
Q5S007,P21266,0.63
O94874,Q01130,0.63
Q13501,Q9P2W7,0.63
Q16666,P62714,0.63
P55072,O75340,0.63
P07948,O60658,0.63
P09601,Q96DZ7,0.63
Q8N5K1,Q5BVD1,0.63
P60520,Q99460,0.63
O94874,P42677,0.63
Q16666,Q96N67,0.63
P55072,Q96D46,0.63
P07948,Q15758,0.63
P09601,O95047,0.63
P48426,P11279,0.63
Q8N5K1,P20339,0.63
Q5S007,Q13838,0.63
O94874,P62424,0.63
Q16666,Q9Y5B9,0.63
P55072,P08709,0.63
P07948,O96028,0.63
Q96A37,O60493,0.63
Q8N5K1,Q9H2F3,0.63
Q5S007,Q15031,0.63
P60520,Q9UKV8,0.63
P07948,Q8N5S1,0.63
O94874,P62316,0.63
Q16666,O95373,0.63
P55072,P35268,0.63
P07948,Q9NVP1,0.63
Q8NEB9,O00522,0.63
Q5S007,P61081,0.63
P60520,P36578,0.63
O94874,Q15388,0.63
P12931,Q14008,0.63
Q16666,Q96T37,0.63
P55072,P62829,0.63
P07948,O95819,0.63
Q8NEB9,Q9NQC7,0.63
P05109,P05164,0.63
Q5S007,O43156,0.63
P60520,Q99848,0.63
P04637,O75832,0.63
P07948,Q15669,0.63
O94874,Q9NX63,0.63
P12931,Q86YH6,0.63
Q13137,Q2VPB7,0.63
P42338,Q9UBK5,0.63
P06702,Q9BVJ6,0.63
Q5S007,P23246,0.63
P60520,P25705,0.63
P07948,P62330,0.63
O94874,Q5VTL8,0.63
Q16666,P06493,0.63
P55072,Q8IYT4,0.63
P07900,P13762,0.63
Q96AG3,Q969V5,0.63
Q00610,P06748,0.63
Q5S007,Q92598,0.63
P60520,P62851,0.63
Q66K74,Q8N0Z3,0.63
O94874,O14617,0.63
Q16666,Q9BRS2,0.63
Q13137,P08670,0.63
P55072,O43422,0.63
O95140,Q00610,0.63
P07900,P54132,0.63
P42338,Q9BSK4,0.63
Q96AG3,O94901,0.63
Q5S007,P06280,0.63
P04637,Q13077,0.63
Q66K74,P78358,0.63
O94874,Q9UJZ1,0.63
Q16666,Q96BK5,0.63
P55072,Q8NHP8,0.63
O95140,P60900,0.63
P07900,Q13148,0.63
Q96AG3,Q8TCT9,0.63
Q00610,O75665,0.63
Q5S007,P78417,0.63
P04637,O15355,0.63
O94874,Q5VYK3,0.63
P12931,Q8IXK2,0.63
Q16666,Q15046,0.63
Q13137,Q7Z2W9,0.63
P55072,Q8NCE2,0.63
O95140,Q9BXJ9,0.63
Q96AG3,P07196,0.63
Q00610,Q01196,0.63
P04637,Q9Y676,0.63
Q7KZI7,P12830,0.63
O94874,P52907,0.63
Q16666,P08559,0.63
Q13137,P35580,0.63
P55072,P99999,0.63
P07900,P55017,0.63
Q96AG3,O75694,0.63
P10253,Q9Y219,0.63
P04637,O43837,0.63
Q7KZI7,Q92913,0.63
O94874,P08243,0.63
P12931,P27487,0.63
Q16666,P05455,0.63
Q13137,P62750,0.63
P55072,Q8IU81,0.63
P07900,P30307,0.63
Q96AG3,Q9NZ45,0.63
Q96AG3,Q5THJ4,0.63
Q00610,P49841,0.63
P10253,Q8N2A8,0.63
Q7KZI7,Q12846,0.63
O94874,Q9Y230,0.63
P12931,Q96C01,0.63
Q16666,Q9UN86,0.63
Q13137,P61081,0.63
P19484,P00403,0.63
O95295,Q59GB8,0.63
O95140,P49427,0.63
O94874,Q6UB35,0.63
P12931,Q86TG1,0.63
Q13137,P42696,0.63
P07900,P56945,0.63
Q676U5,Q9Y6W5,0.63
O95295,Q8IV53,0.63
Q00610,Q9BYZ6,0.63
P07948,P28482,0.63
P04637,Q6NZ67,0.63
O94874,Q7KZF4,0.63
Q13137,P60953,0.63
P49768,Q96TC7,0.63
Q676U5,O75190,0.63
Q00610,Q7L0Q8,0.63
P07948,Q5M9Q1,0.63
P04637,Q562R1,0.63
Q8NHS3,Q9ULW2,0.63
O94874,Q13823,0.63
Q86WV6,Q8IUH3,0.63
P07900,Q9UNQ0,0.63
Q676U5,P25788,0.63
O95721,Q13751,0.63
P07948,Q8N3Z6,0.63
P04637,O00746,0.63
Q676U5,O95716,0.63
Q02556,P09493,0.63
Q5BJD5,P27708,0.63
P07900,P46937,0.63
P49768,P55289,0.63
Q676U5,P61927,0.63
Q676U5,Q674X7,0.63
P43235,A5A3E0,0.63
Q5BJD5,P53621,0.63
P27361,Q9NPI6,0.63
Q676U5,Q8TAQ2,0.63
O75886,O43493,0.63
Q5BJD5,Q9Y512,0.63
P62820,Q96M27,0.63
Q13131,P04629,0.63
O75886,Q86YT6,0.63
P13473,Q8N2W9,0.63
O43633,Q9P2E9,0.63
Q5BJD5,P35606,0.63
P62820,P78317,0.63
Q676U5,Q13155,0.63
Q13501,P19013,0.63
P10909,Q9Y575,0.63
P04637,O14828,0.63
P27361,Q5MJ08,0.63
Q13131,Q99956,0.63
O95210,P20339,0.63
Q96CF2,P09874,0.63
O60784,A5D8V6,0.63
P62820,P35226,0.63
Q676U5,Q07065,0.63
Q13501,P23443,0.63
P10909,Q9BXW9,0.63
P04637,Q15041,0.63
P27361,P00533,0.63
O95210,P43307,0.63
Q96CF2,P61158,0.63
P62820,O00116,0.63
Q676U5,Q13347,0.63
P04637,Q9UG01,0.63
P54646,O00308,0.63
Q96CF2,Q4KMQ1,0.63
Q13049,O14966,0.63
Q13496,P61758,0.63
P62820,P84095,0.63
P60520,P50914,0.63
Q676U5,O43513,0.63
P12109,P41221,0.63
P04637,Q02224,0.63
Q13615,Q9BUN8,0.63
P54646,O75638,0.63
Q13496,O15027,0.63
P11142,P02751,0.63
P60520,P13639,0.63
Q676U5,O95747,0.63
Q13501,P07741,0.63
P12109,P02747,0.63
