Interactor A,Interactor B,Confidence Value
P04637,P38398,0.9
P04637,Q03468,0.9
Q14CS0,P55072,0.9
O15294,Q9UPV9,0.9
P12931,P15941,0.9
P04637,Q14191,0.9
P49768,O60716,0.9
P04637,Q9NRG4,0.9
Q8NEZ2,Q9UK41,0.9
P42345,Q8N122,0.9
Q7KZI7,Q04917,0.9
P55072,O94888,0.9
P12931,Q14118,0.9
P04637,P20226,0.9
O94817,Q9NT62,0.9
O75143,Q9H492,0.9
Q86Y82,O75379,0.9
Q14457,Q9P2Y5,0.9
P04637,Q06609,0.9
Q00610,P09496,0.9
P55072,Q9BQE4,0.9
Q12778,P63104,0.9
Q86VP1,P21580,0.9
P04637,P29590,0.9
P12931,P22681,0.9
Q7Z6L1,Q9H1Y0,0.9
P04637,Q9UNL4,0.9
Q13315,P00519,0.9
P07948,P56945,0.9
P05198,P19525,0.9
P04637,Q92793,0.9
P04637,Q9H2X6,0.9
P00519,Q00987,0.9
A5D8V6,Q99816,0.9
P04637,P27694,0.9
P55072,Q9BUN8,0.9
P12931,Q12879,0.9
Q86VN1,Q96H20,0.9
Q15831,P07900,0.9
Q8TEV9,Q96LT7,0.9
Q14457,Q14457,0.9
Q14457,Q6ZNE5,0.9
P07900,Q13451,0.9
P61006,P47224,0.9
P04637,Q7LG56,0.9
P00519,O15350,0.9
O95295,Q9UL45,0.9
O75143,Q9GZQ8,0.9
Q13315,P04637,0.9
P07900,O95433,0.9
P07948,P10721,0.9
Q86WV6,Q86WV6,0.9
Q13501,Q9GZQ8,0.9
P55072,Q9UNN5,0.9
Q8WUM4,P00533,0.9
P04637,P51587,0.9
Q96AJ9,O75379,0.9
P07948,Q9HCN6,0.9
P04637,P34932,0.9
P12931,Q16543,0.9
O14964,P54257,0.9
O00214,P13612,0.9
P55072,Q96JH7,0.9
P04637,Q13526,0.9
Q86VN1,Q9BRG1,0.9
Q14457,Q92622,0.9
P07948,P00533,0.9
P04637,P07900,0.9
P07900,Q16665,0.9
Q13501,P41743,0.9
